nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
824,52774,0,0,0,1347
823,52925,0,0,0,1343
825,53072,0,0,0,1345
821,53219,0,0,0,1350
822,53362,0,0,0,1347
828,53506,0,0,0,1350
828,53656,0,0,0,1350
827,53805,0,0,0,1356
832,53948,0,0,0,1345
836,54096,0,0,0,1364
838,54248,0,0,0,1358
831,54389,0,0,0,1357
839,54510,0,0,0,1368
845,54639,0,0,0,1382
841,54774,0,0,0,1370
846,54905,0,0,0,1382
848,55041,0,0,0,1382
847,55179,0,0,0,1387
851,55314,0,0,0,1387
854,55453,0,0,0,1394
850,55595,0,0,0,1388
847,55727,0,0,0,1399
847,55849,0,0,0,1392
849,55964,0,0,0,1399
853,56081,0,0,0,1402
857,56202,0,0,0,1412
855,56327,0,0,0,1404
854,56450,0,0,0,1404
858,56572,0,0,0,1405
855,56698,0,0,0,1415
857,56821,0,0,0,1412
874,56939,0,0,0,1424
872,57065,0,0,0,1426
877,57189,0,0,0,1436
889,57318,0,0,0,1458
891,57459,0,0,0,1468
893,57602,0,0,0,1466
895,57747,0,0,0,1466
899,57894,0,0,0,1472
904,58045,0,0,0,1484
905,58198,0,0,0,1493
910,58346,0,0,0,1498
910,58495,0,0,0,1503
914,58642,0,0,0,1512
913,58793,0,0,0,1511
920,58943,0,0,0,1513
922,59100,0,0,0,1524
928,59259,0,0,0,1537
927,59424,0,0,0,1531
931,59588,0,0,0,1543
935,59752,0,0,0,1563
930,59917,0,0,0,1548
949,60077,0,0,0,1583
941,60250,0,0,0,1578
948,60410,0,0,0,1596
951,60576,0,0,0,1601
963,60744,0,0,0,1623
958,60924,0,0,0,1608
952,61099,0,0,0,1597
956,61268,0,0,0,1593
966,61441,0,0,0,1619
965,61624,0,0,0,1615
968,61806,0,0,0,1629
966,61989,0,0,0,1627
969,62170,0,0,0,1634
968,62352,0,0,0,1629
968,62533,0,0,0,1633
968,62714,0,0,0,1632
970,62895,0,0,0,1642
970,63077,0,0,0,1638
962,63251,0,0,0,1610
969,63413,0,0,0,1626
971,63582,0,0,0,1631
971,63753,0,0,0,1624
972,63924,0,0,0,1622
971,64096,0,0,0,1617
978,64267,0,0,0,1635
980,64445,0,0,0,1641
983,64625,0,0,0,1648
983,64808,0,0,0,1647
984,64991,0,0,0,1651
982,65175,0,0,0,1642
