nodes_active,nodes_removed,nodes_merged,nodes_w_parents,nodes_w_children,edges
540,3899,0,0,182,1800
541,3902,0,0,182,1798
542,3909,0,0,182,1805
545,3913,0,0,183,1823
545,3916,0,0,185,1820
547,3919,0,0,185,1823
545,3924,0,0,186,1817
547,3927,0,0,186,1824
548,3932,0,0,185,1826
549,3936,0,0,184,1833
551,3940,0,0,185,1848
550,3944,0,0,185,1841
553,3943,0,0,185,1863
553,3945,0,0,185,1861
554,3950,0,0,185,1858
555,3953,0,0,185,1846
555,3957,0,0,187,1842
554,3961,0,0,187,1840
556,3963,0,0,187,1844
558,3966,0,0,188,1857
558,3970,0,0,188,1851
560,3974,0,0,188,1864
559,3978,0,0,188,1859
563,3980,0,0,189,1866
561,3983,0,0,189,1863
560,3987,0,0,189,1860
562,3990,0,0,189,1863
566,3995,0,0,189,1872
573,4003,0,0,189,1877
576,4011,0,0,190,1887
580,4015,0,0,189,1894
577,4022,0,0,189,1889
582,4025,0,0,189,1905
580,4031,0,0,190,1907
588,4038,0,0,190,1917
586,4050,0,0,190,1915
590,4061,0,0,191,1916
594,4067,0,0,190,1928
590,4077,0,0,191,1918
595,4081,0,0,192,1928
598,4087,0,0,192,1940
598,4094,0,0,193,1945
599,4105,0,0,192,1951
598,4117,0,0,192,1942
600,4127,0,0,192,1946
603,4138,0,0,193,1957
605,4147,0,0,193,1967
605,4154,0,0,193,1972
609,4159,0,0,194,1976
607,4171,0,0,193,1978
609,4179,0,0,193,1990
612,4187,0,0,193,1987
616,4200,0,0,193,1991
614,4217,0,0,193,1989
616,4222,0,0,194,2014
618,4233,0,0,194,2025
620,4243,0,0,195,2016
619,4255,0,0,196,2025
626,4259,0,0,196,2040
629,4268,0,0,196,2037
630,4276,0,0,196,2049
629,4287,0,0,196,2044
632,4302,0,0,196,2051
632,4309,0,0,196,2051
630,4326,0,0,197,2052
637,4339,0,0,198,2060
634,4351,0,0,198,2053
